Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/3/19, 10:04:47, 65736.3, 66194.0, 65600.3, 66112.0, 61257320, 80000, 29104872, 32152444
2024/3/19, 10:17:03, 66112.0, 66445.3, 66111.0, 66410.4, 60814328, 80000, 27180348, 33633992
2024/3/19, 10:34:58, 66410.4, 66424.0, 65675.3, 65681.7, 58196992, 80000, 33032806, 25164202
2024/3/19, 10:50:07, 65681.7, 66013.7, 65547.8, 65785.0, 54211188, 80000, 25680840, 28530360
2024/3/19, 11:02:02, 65785.0, 66054.8, 65533.2, 65815.9, 51378720, 80000, 25804856, 25573876
2024/3/19, 11:18:14, 65815.9, 65908.0, 65381.1, 65381.1, 56546764, 80000, 32576104, 23970668
2024/3/19, 11:34:24, 65381.1, 65397.0, 65000.0, 65088.7, 66647184, 80000, 42047128, 24600072
2024/3/19, 11:40:12, 65088.7, 65527.2, 64893.1, 65460.6, 65372880, 80000, 27930836, 37442048
2024/3/19, 11:46:00, 65460.6, 66071.8, 65434.2, 66029.1, 79358248, 80000, 30551762, 48806520
2024/3/19, 11:55:10, 66029.1, 66108.7, 65546.7, 65738.7, 62599220, 80000, 36755784, 25843448
2024/3/19, 12:10:11, 65738.7, 65798.9, 65065.0, 65427.0, 63897216, 80000, 35097144, 28800084
2024/3/19, 12:22:07, 65427.0, 65786.8, 65291.7, 65440.6, 62812376, 80000, 28811772, 34000632
2024/3/19, 12:39:19, 65440.6, 65614.4, 65175.0, 65430.0, 51203928, 80000, 27770728, 23433210
2024/3/19, 12:57:58, 65430.0, 65677.5, 65108.4, 65188.1, 50203328, 80000, 27117564, 23085760
2024/3/19, 13:19:38, 65188.1, 65297.3, 64700.0, 64889.2, 61349864, 80000, 38493144, 22856734
2024/3/19, 13:31:55, 64889.2, 65250.0, 64808.0, 64876.1, 54480560, 80000, 24785824, 29694740
2024/3/19, 13:44:21, 64876.1, 65200.0, 64675.2, 65175.3, 63810432, 80000, 31338994, 32471460
